Name,Category,Data Collection step,Id
Marcel Enlightened,MGTOW,2,UCrv0NCiVhht6HfViwlaVJBA
MGTOW MANINAZI,MGTOW,2,UCmr4cFcLqeRUk6Km3vaGotA
Undead Chronic,MGTOW,2,UCFe3hqzU5BhiKdXlqjc1KtA
John Nada,MGTOW,2,UCrBS0YjL5OO8iBnV6f6M-bw
MGTOW Truth,MGTOW,2,UCIC8GH44FjpllvFu5DzO5xw
Wise2daGame,MGTOW,2,UCU80Ocd--K1vzTGYxMjEiOw
Alexander Juan Antonio Cortes,MGTOW,2,UCn0ZK0ayG3eJhQC_j90wBmw
King Richez On Fire,MGTOW,2,UC-Wz_tOR0ChooAoesAUv4Lw
The Dating Wizard,MGTOW,2,UCCLBZkbVMsDy3T-ErLOkVdw
Manosphere Environment,MGTOW,2,UCFlDbTySKx1uRx4R50w-9eA
College MGTOW,MGTOW,2,UChJNXTQCr7YIziV8d1H6tXw
Inconspicuous Man,MGTOW,2,UCuf8fpJoQmy2wFb5W1zOWkA
Southern Male,MGTOW,2,UCVOPAzWt7c7bG1r2WkmV3Jg
James Von Maxwell,MGTOW,2,UCezB8ZxKLSmmL2gx8zb4iEw
EMAN67,MGTOW,2,UCnOofSLpyiDQcThNKf2JJGw
MGTOW MONEY,MGTOW,2,UC4l_02h-34rlgyUhBaUgcfQ
MGTOWN,MGTOW,2,UCSGTCm_L2ssNJmScEhJU3og
Red Pill Mindframe,MGTOW,2,UCH4-z1jU6v1QCZE0hqGcS7Q
Alpha Male Guide,MGTOW,2,UCton5c-eyajfNR_pRcKk86g
L O M,MGTOW,2,UCvGzonGrDIzUQnwJBLe22YQ
Jerry Liu,MGTOW,2,UCCIqP2EUeK46bcFuyf8E6dw
Jaded Creep,MGTOW,2,UCjl9iBBVhu4xziXwjgLwqYQ
The Enlightened Kiwi,MGTOW,2,UCDRhy5G0TGF0nHdMjSH2E6w
Captain Sinbad,MGTOW,2,UC8XKyvQ5Ne_bvYbgv8LaIeg
MEN101,MGTOW,2,UCMPAwSx-57jgqImqEYxZiXg
The Solitary Wolf,MGTOW,3,UCueXoXyOKbhDfnub_28eC7A
Happy Humble Hermit,MGTOW,3,UCd4xRbTbKS3CI8I17YjTBNQ
Sunrise Hoodie,MGTOW,3,UCjVhxbG6CPGw3YP-BpaOIqA
RF SQUARE,MGTOW,3,UCauYZm2lm1MufqCN9zIrXyA
CoachGregAdams,MGTOW,3,UClLNqr9kTEehlf7jSiSLJVg
TheMABExperience,MGTOW,3,UCyLHoOMy2mcIq7v5BFnNQww
The Ukrainian Lens,MGTOW,3,UC0qSkLTzo-40rA-WvzjTHDg
The33Secrets,MGTOW,3,UCjwD__1zcIfzVL6l2I5uBdg
Alpha Male Strategies,MGTOW,3,UC0it1cu-mt_IcvLTQ4CWcHw
Hammer Hand,MGTOW,3,UCtCAKno3zALipFdpdY1ZLjA
Mountain MGTOW,MGTOW,3,UCoZ_kgm4fIOm3n3EgDbEncw
Liberation Y,MGTOW,3,UCrBFmNZB-Pwk1n0Bk_Ivwbw
EntrepreneursInCars,MGTOW,3,UCuKqtwPO5ci5_KoZGbfl33g
RPOS,MGTOW,4,UCHwIeue1WcJzfS2dvCVuiWA
MonsterManTV,MGTOW,4,UCF1F7bQ_7-C8_JMDiIKE6LQ
lastsecshot,MGTOW,4,UCM96pu5VCp13f7P8Ar7qUjg
Jaye de Black,MGTOW,4,UCXmSzYyPQ6CuCzwitLclnjg
LFA,MGTOW,4,UCkS25_BA441NQMkbJG_k9Kg
Elisha Long,MGTOW,4,UCvF7Ll_WOgQWOw0KZJsVNXQ
Mindful Attraction,MGTOW,4,UCBmkZCMwh-OqGB5eU2W3QXg
DoubleYourDatingDD,PUA,1,UC7XM4gIpmyH1XNTDEVbSS9w
HayleyQuinnXx,PUA,1,UCyA6r3k8zMF2axgxVz-qTMA
Roosh V,PUA,1,UC16j6EppP0K85CzYMduNCqw
GoodLookingLoser69,PUA,1,UCFH8kR8gq7nn9GqSpgwu1kQ
Tariq Radio,PUA,1,UCjH72OaQxPoKgtv56C-4NOA
naughtynomadtv,PUA,1,UCqdICzheBUg6W7DyOYQamJA
rsdfreetour,PUA,1,UCTF6CEoSHHGTuJwk_zppupw
RSD Julien,PUA,1,UCTyvDKLQnpIivQzX9qa5sWA
RSD Tyler,PUA,1,UCD4xqm6vJ3K4ntppsE1jL4g
The Natural Lifestyle,PUA,1,UCk9SqfJYu5HP5e2dfClpr0g
Sasha Daygame,PUA,1,UClae1uxKkw28rfX20Jm9Qyg
21 Studios,PUA,1,UCuErSr7xeR763BzTJL7yJ7A
Michael Valmont,PUA,1,UCD-cyDCJUs80NGUCYTCVPDA
Richard LaRuina,PUA,1,UCsMzMM6gDS8ZiDIPmatGngg
Venusian Arts,PUA,1,UC258xnugPLjXRPO34QACiBw
Kezia Noble,PUA,1,UC_fiSXsgDVMLDmExLohAYIA
Coach Corey Wayne,PUA,1,UCQTAVxA4dNBCoPdHhX9nnoQ
willy beck,PUA,1,UCQ69s6pIPwV5tioRAGrG0Tw
Johnnyberba,PUA,1,UCSfAjvVM5cqn7DCng0OR-pQ
Evolution Daily,PUA,2,UCp_3ZnE5OjPbQCO_LbhObGA
LetsGetGirls,PUA,2,UC8X33POhYcIN-JwOaxEz2Lw
Austen Summers,PUA,2,UCaQs5uEGmuNoj8GGVhnB3kA
Dave Perrotta,PUA,2,UCl7GLJo420GdYP7mYZh-yEg
The Bowl,PUA,2,UCAPZwfAHn51sSZiFHorTxHA
The Path of the Modern Man,PUA,2,UCm7cF_PSiLUhXPEVyuG25Gw
Moe Abbassi,PUA,2,UCey8aYvvhqRbZCruPdD5caw
Beckster Lifestyle,PUA,2,UCb1pUSilDPgMaf5P3E8ZRvA
TheSingleLife,PUA,2,UCTJuAgxiigm_gg9YDyq9y8A
Daygame.com,PUA,2,UCqisd7riZrTjKdU0dqpoONw
Sol Dating And Lifestyle,PUA,2,UCagHu20Tuj3zElwZj-w2Fqw
ASIAN ROMANCE,PUA,2,UCEHhJ6PAp-BEW2im0SAfK4w
JanLifestyle,PUA,2,UCPLa73c0_QQMZipl1HybtHg
Nick Krauser,PUA,2,UCiChLqJjX4d_Q6X24ryyqXA
MrBeneification,PUA,2,UC-Or4JV-ikWES6ZwCVN__PA
Michael The Situation,PUA,2,UC_T1In1fbHpXKEuW8a8-2pg
Steve Jabba,PUA,2,UCdHHNkBbGj4tuMo6SjEl1dg
FarFromAverage,PUA,2,UC6Iaz96RkYE-MOjnq5NPgqw
Badboy lifestyle,PUA,2,UCVQlNTd8M5vD-exIpikpvog
Social Daygame Infield,PUA,2,UC4QWILrhh8gQe99Kmdoba4Q
SucceedAtDating,PUA,2,UCTvejcHP9cK5XqCIPZvdAbg
SquattinCassanova,PUA,2,UCNfKp9eXtcCM1-Nz0mTCGTw
Daniel Blake,PUA,2,UC2qovl2JjYyMI_cqznjSGWg
Daygame Australia,PUA,2,UCfGxf1tdjIdtpFY2IjggDNw
Beastmode Magazine,PUA,2,UCmDv0nPpc_lum517VF1e8VA
Brian Black,PUA,2,UC4py_gZiZJoyThV0Xwxhzug
Dating Architect,PUA,2,UC52xQhSiQh5zOTJoooIMOsg
MysteryPickUpArtist0,PUA,2,UC0G7RJSfUaWa2Zfw_0Jyoug
Loveme.com,PUA,2,UCjCqhc2OU63ygl53UA-iyHQ
PickUpArtistPUA,PUA,2,UCi-ZsSk7G8z2G12KgTjKgZw
John Cooper - Art of Social,PUA,2,UCUVCYTauctWL_VgysXmgTaQ
The Fearless Man,PUA,2,UCjyn_K6PpnAUh1KKyYAHsBA
Victor M Paz Jr,PUA,2,UCOTpnM9yWpZkSp6ZX27QwjQ
How to approach her,PUA,2,UCkwcu77254CvudmXRfcTaDg
Lifestyle mastery,PUA,2,UCM4bEcJjqR7WlrRIfBIkBdQ
Satory,PUA,2,UCMBL8vkod4OKHgW_QqvfXwA
Coach Kay,PUA,2,UC8_LUYv0d5OSl1V94LH-y3Q
James Tusk,PUA,2,UCxJiYMtouGpvAdeZyZoHGZg
tomtorerotv,PUA,2,UC-FIowkUpK-L9sfZRCef_iw
Johnny Cassel,PUA,2,UC0-Uk0ex4khy7c-nYy6Ex-Q
RSD Jeffy,PUA,3,UC_1N_NAJv18XOndxdixfW6g
RSD Ozzie,PUA,3,UCJjOsobrGr72uABRLPDyaJQ
AskToddV,PUA,3,UCvmKbukYpA8SagnjSHt_NfQ
RSD Motivation,PUA,3,UCFhYciYV6oyqrOfoZoyoYCg
Nick Kho,PUA,3,UCu5vCs-tKoYzPBxnVF8FYGQ
RSD Max,PUA,3,UCmIq20BSpfq7Y5qS-dQudog
Julien Himself,PUA,3,UCaN4Pe5JEsWzAByY2WfxxjQ
LiamMcRaeRants,PUA,3,UCr4noD5_Hxn6X_qdaQHA6Kw
The Sasha Daygame Podcast,PUA,3,UCgt1Qx_QBSzF9SLMLY2UnNA
Sasha Second,PUA,3,UCKCWzpfMtsofk8bm80WzwmA
Rian Stone,PUA,3,UC4ayoBG3GC0TtiOVX9y2_IQ
The Red Man Group,PUA,3,UCY0fILilUr601SPy-wc0XUQ
George Bruno,PUA,3,UCghz8w8iOn3PDpYi9QuC3bQ
Texas Dom,PUA,3,UC0pud8uplkWWp8SYXjS828g
4 Week Natural,PUA,3,UCPcIrG2d96HDzRqCE93K2Eg
TaySocial,PUA,3,UClKa8mrHgQfeeh5EIDqRfAQ
Honest Signalz,PUA,3,UC6BLvNM83VFg0Vgh_aCfOGw
Street Attraction,PUA,3,UCc33T6QinM7wdXBx8eKpikA
Based Zeus,PUA,3,UC1PkRYud11ogYDqgdqd23Zw
Tripp Advice,PUA,3,UCjTMOi3cpslA7JUmPdfD6MQ
Todd V Dating,PUA,3,UCo9XJennsRNhyPbXCq6e8aw
Marni Your Personal Wing Girl,PUA,3,UCCgrWW6fsUVdRD7xI52xhnQ
Kate Spring,PUA,3,UCNpBDi0eHdQ7-vBr_tZ2ksw
Dan Bacon,PUA,3,UCpjFHKuH-BQELT8lj85vmRw
Ollie Pearce,PUA,3,UCwWkbMqbsawHFyfeGEHb8mA
TheJoshSpeaks1,PUA,3,UCwX9Rh2T0LiDPqJNvLGpGlg
ABCs of Attraction,PUA,3,UCEjjHEa3xG6W91ZL7_jSYCw
naturally bubbly,PUA,3,UCNttYr07FLI6jzz_VUMeF6w
KamaTV,PUA,3,UC2onM4kU0ChVbwlYMemRJEg
MantelligenceDating,PUA,3,UCfMX1py0agQyBcOKjt2VSzA
Appolonia Ponti,PUA,3,UCYqdbnuvx-jJZByotoNW-5Q
Ryan Black,PUA,3,UC1GvdBQyTeP8eCbcqdRWiZA
Elliot Hulse,PUA,3,UCLrI-dOLyDbRnPyUeWadsOg
Bradicus,PUA,3,UCNt2iZyQIgkaW0Bcwhw8PLQ
Viking Lifestyle,PUA,3,UCRn-wnGsb6DaXdi9U-afAsA
David Bond,PUA,3,UCyKApv3PvaslEzHR9rwK4_w
AlphaMconsulting,PUA,3,UC1KbedtKa3d5dleFR6OjQMg
How to Beast,PUA,3,UCtQEjfEFzba37ozoXK40r3w
Matt Eastwood,PUA,3,UCE34NceQJKjipx5CRG8Qi1Q
Motivation Specialist,PUA,3,UCzpGSici-H8VtnhCPp_b3Yg
Anthony Hustle,PUA,3,UCGcZSPnN83GbcqzIJauoogA
Social Prime,PUA,4,UC-gs1e4-V16TM5mgo5d_xuw
Sam Overton,PUA,4,UCB6Axmo3AK495fsvuDcLkjg
RSD Luke,PUA,4,UC2XMvfBq5w2P4_ZYOsMlxVg
MontrealRSDCrew,PUA,4,UCts47p-nMPfpG4zZPB3ZfKA
aanghel,PUA,4,UC9459CRFjiCq52yKuiraD4w
Jack Manley TV,PUA,4,UCWYzs-Mi7SM_n1EgvzIOn3w
SimpleSexyStupid,PUA,4,UCJgVPwzPxklQr6WHwJLPlew
Wade Alters,PUA,4,UCxObD2ivFPpq9Akna40s7Fw
Kings Remedies,PUA,4,UCm6hublvFdiwTgq96q9PM5Q
AWxInc,PUA,4,UCaaApS4TMI3KueyAkIQv1XQ
COCO Chanou,PUA,4,UCdGAMy3KL1lCaaH7_JMvUeg
The Charisma Matrix,PUA,4,UCs14Smim-bliHN4GBEom-Vg
BradBrowningExFactor,PUA,4,UChCFbthWQF4MKA-43SCDB9g
MantelligenceStyle,PUA,4,UCBrKVgNgwYrPuqcxzJCbPHg
Love Advice TV,PUA,4,UClOZ-fMMvom8p2GWZ_ihpfw
Jack Denmo,PUA,4,UCXlnUMmbfvVBmc5NqzlbFVw
FashionGameTV,PUA,4,UCwwP0UPUoTPHg2nWe4qERbA
JoshTryhane,PUA,4,UCPsp098EE90Gyqgvo0Eazeg
LightsCameraNegeen,PUA,4,UCQFmSsxwJwOALJZp3GYf7Cg
Andrew Foraday,PUA,4,UCsspQFcCZ14d5DPMfVbPuuw
Connor Murphy,PUA,4,UCwNPPl_oX8oUtKVMLxL13jg
Tanner Guzy,PUA,4,UCHfnqyD8fb_rzkRmZSo0Wng
AlphaMaleSociety,PUA,4,UCSuIAAH09DiO10JXWdsCQEw
BrendioEEE,Incel,1,UCZjz2s4DyU6TrGzXJQ_VBRw
Kyle H.,Incel,1,UCTWyeeDyUn1GCEzb6XZG7MQ
FACEandLMS,Incel,1,UC41VQF08gjJGz5tYyp5ezfw
William Lupinacci,Incel,1,UCYQ2gQbvIwIM90N13dnkvwg
Virgin Messiah,Incel,1,UCZ5VQ34f6yxjlkLaq8lbgvA
Downhill D Mille,Incel,1,UC3VGE_oMmD3qzI9yEco0I1w
Hell by the Dashboard Light,Incel,1,UCpsuUgmFvHpDXs96pgdrq6g
HeedAndSucceed,Incel,1,UCpk7Ru_tqTSEiKJzlmFxLgw
Rejected-From-Eve .Zero,Incel,1,UCGERZ-3ZyAJqevZtw9PCatQ
TFL at was,Incel,1,UCQgiVTdHRr7NI4xIdJui5Wg
BigBOSSCalvin83,Incel,1,UCO01qpeL29tfw4RTwTZv-sw
Mainlander,Incel,1,UCG5aDTHFulVQViF9E-FTzNw
Samuel Maxwell,Incel,1,UC1uqC_EGj8qge9msaf699YQ
SteveDougson,Incel,1,UCVaWf4IhCjjMHGVeTvXcS1g
Off Grid Prosperity,Incel,1,UCUcpr6naAk-kCA1L8OOM5Nw
Just James,Incel,1,UCOYhgosLesFDd_hUpWGf1iA
Blue Skies Media,Incel,1,UCpFKlATawMhKF5xehVOZLLA
Monday FA Monday,Incel,1,UCTqKAe_hNq-kFp1ss6Lga6g
You wouldn't like me when I get gutta,Incel,1,UCxcVvBUylGdjCS4jz5PVSag
KingOfTFL,Incel,1,UCoExCKBtf2ZsF-nrZqcXQyQ
Link,Incel,1,UCVk0E-MUK5ukPbDfP2QcFYg
Oreoman,Incel,1,UCCo7CvP9sYIWK0B2ihuW2dw
BlackpillMafia,Incel,2,UCd14vyyg49J_ISVHSWEMjsQ
Vav,Incel,2,UCdKUh2i6PBILzqD3rPiS8nw
First Last,Incel,2,UCn1fwrq_QO0WkzBjdIM-8uQ
Coach Black Pill,Incel,2,UC5m-1lIBZeSSSDDSbl9sNFw
Top Dollar Black Pill Gangster,Incel,2,UCcYXfb3ftov8m-dwcDpO00g
Incel TV,Incel,2,UCV3oX6B8Uq8VMh_L5zStVfg
TheLanbla,Incel,2,UCa-QpckLkgzFzG00Tqjsbnw
Incel Uprising,Incel,2,UCnL31BzrmNz8MHwrCLhnjIw
Kenneth The Golden Child,Incel,2,UCDBRuSWtxU8cQeZ-iVd_gvw
DontPanicTheRapper,Incel,2,UCOaH9Cetw1_eAyUxpl6aqwQ
Blackpill Bishop,Incel,2,UCXHKuD1uuh-jsoh6CmF6rww
Eggy Noggy,Incel,2,UCZ9GGHg7ERYgH_pIduMjgdA
TheALPHACHECK100,Incel,2,UC7gAnULJ4WuqXTsIBwAnIBw
Black Pill Presentations,Incel,2,UCqgRXahIvfmPqzOVfIsXu6g
TheUnreal1,Incel,2,UCDp4wd-htp51Ir5aByUN15w
Christopher Anderson,Incel,2,UClQkOIf9OfMCQ4CjlSSPvbQ
NullCyber,Incel,2,UCdNyLKP5CW9dPQka8SwXHUA
THE Forbidden Thinker,Incel,2,UCCdhGyttg_U1mIdb3WELe_Q
RICEPILL,Incel,2,UCocq2LGS2ApHcu3O0PJa2eA
GynoPrince,Incel,2,UC7JWVo-MDRhNBiU7Dp8j6kg
The Incel Experience,Incel,2,UCHU64hE5gBhdJk4iqGejHIw
Stop Being Confused About Health,Incel,2,UCPz82RASOzerCU1MrYm0SSQ
Looksmax,Incel,2,UCeVo455xDqrLsq7vt7NLQ-g
AsHBoY,Incel,2,UCpDAdprUWs21wyWwbv_Z4pw
Looks Theory,Incel,2,UCGlLEGoGE1ZUAMQcUFNa8QQ
Astro Sky,Incel,2,UCyy_kETc7LrFPjwgVod1_Mw
Facehacking: The Science of Attraction,Incel,2,UCa3DmNrFcBTQbtNPkF0iprA
Jack Peterson,Incel,2,UCoi355TFIZ3nc2ODfE8WGoA
Never Give Up,Incel,3,UCh-yZehWlvPds-NewsXpzwg
Orthotropics,Incel,3,UC6eh59CVGAMTjxo6q9gCMZA
StudioBrule,MRA,1,UC7PfGhJXlJiDs4jvGGGgqsQ
carnellspeaks,MRA,1,UCbVCEJ93942EpPqN2AzEyBg
KristalDGarcia,MRA,1,UCY82s26DcOzvDgwGYXFcYtw
CoalitionForMen,MRA,1,UCHaKL3tBNNUBp39ZIxox0bA
FatherlessAmerica,MRA,1,UCAgb6xVzZ_Xo6EuE3ne86Nw
1menaregood1,MRA,1,UCAlVRoYjDbgLx7j6O2N8-2g
Red Pill Awareness,MRA,1,UCBsCsmpR2GN2O8q2J5noFMA
deanesmay,MRA,1,UCKkxuj6Opa-JV3_s6r2CPEQ
An Ear for Men,MRA,1,UCXNNG0ej_6rU9SxCZ4dyq6w
Attila Vinczer,MRA,1,UC89MuToZunfClmUYoS6-Sow
drwarrenfarrell,MRA,1,UCcdQla_9PbQb4-FKFxJN2ag
HoneyBadgerRadio,MRA,1,UC595wqznMGuY2mi6DKx-qnQ
Hannah Wallen,MRA,1,UC_7Bt0vnvdJqAwF8Ow8iT0g
girlwriteswhat,MRA,1,UCcmnLu5cGUGeLy744WS-fsg
Feminism Sucks,MRA,2,UC7sjYgQOIDFRMCzt666_dwA
50 Shades,MRA,2,UCa3meRxRwQrXg__x--Goxrg
Mark Postgate,MRA,2,UCIl-NGN7bGS4UuMc1vJTyoQ
Felfop Returns,MRA,2,UCXWynYLv9kfV_r7FpNTaJaA
bane666au,MRA,2,UClfqxOGWFlOMQWpIhbhzL2w
JerryTheother,MRA,2,UCuUbALqd-qaVTdAYbVyG2Aw
Cassiejaye,MRA,2,UCW0XocdjHAzMJmTQIboO8qw
Katy Khaos,MRA,2,UCzzkMOf2bEImOmu8pcXIFHA
astrokidnj,MRA,2,UCkFWCK3PrJXjo4Uv5_8l1cA
Diana Davison,MRA,2,UCVRQqUgDRBevsDGOeE1DL3A
RB_95,MRA,2,UC_QOZpg4t2hf0BCnWhWM27w
Whitney Dahlin,MRA,2,UCFmGu_0gJFKQWrbBp5N3oqw
Mike Buchanan,MRA,2,UCKhX1c3ow6BrzdzP3ydpeZQ
Diapers Off,MRA,2,UCSJt8MQ0bqoAbbFIyu8qOXA
The Glass Blind Spot,MRA,2,UC7kHX39cBk5goUrh3H5qAKg
Messages for Men,MRA,2,UC0msVj8OXmsvWMz8WofDqWg
DoctorRandomercam,MRA,2,UC72vWiZdUN_Y2OC2RgJ-dvA
Canadian Association for Equality,MRA,3,UCvlBoX4hBrM2yUglBQcYVHg
Badger Live Streams,MRA,3,UCcOtHMt1S9Nl4Pycp-FWd8Q
Barbarsossa Rants,MRA,3,UCGE8W5_PN-bZ71nrVp9Z3FA
Owen Benjamin,Intellectual Dark Web,1,UCyQsQSKayfcZoHaCjqxxSlg
Owen Benjamin Clips,Intellectual Dark Web,1,UChtQHPkYDY0gQOOMEpVUlNA
Matt Christiansen,Intellectual Dark Web,1,UCxeY-wRrb65Jt37QHa5xMog
Rebel Wisdom,Intellectual Dark Web,1,UCFQ6Gptuq-sLflbJ4YY3Umw
SargonofAkkad100,Intellectual Dark Web,1,UC-yewGHQbNFpDrGM0diZOLA
The Thinkery,Intellectual Dark Web,1,UCpiCH7qvGVlzMOqy3dncA5Q
PowerfulJRE,Intellectual Dark Web,1,UCzQUP1qoWDoEbmsQxvdjxgQ
joerogandotnet,Intellectual Dark Web,1,UCZOEywSEwg8YZcKMoI5mHgA
JRE Clips,Intellectual Dark Web,1,UCnxGkOGNMqQEUMvroOWps6Q
The Rubin Report,Intellectual Dark Web,1,UCJdKr0Bgd_5saZYqLCa9mng
Gad Saad,Intellectual Dark Web,1,UCLH7qUqM0PLieCVaHA7RegA
Ben Shapiro,Intellectual Dark Web,1,UCnQC_G5Xsjhp9fEJKuIcrSw
JordanPetersonVideos,Intellectual Dark Web,1,UCL_f53ZEJxp8TtlOkHwMV9Q
Jordan B Peterson Clips,Intellectual Dark Web,1,UCodkb-qBktJI5NrUsPYpf7g
Lindsay Shepherd,Intellectual Dark Web,1,UCTjxmzChimJa3X_rAgLAnxg
Bret Weinstein,Intellectual Dark Web,1,UCi5N_uAqApEUIlg32QzkPlg
StevenCrowder,Intellectual Dark Web,1,UCIveFvW-ARp_B_RckhweNJw
Sam Harris,Intellectual Dark Web,1,UCNAxrHudMfdzNi6NxruKPLw
successcouncil,Intellectual Dark Web,2,UCchU0j9bXOa_E1xbxB5MqbQ
CISAus,Intellectual Dark Web,2,UC5c-JkKHb0YxFZ81XBtFCmw
Desi-Rae Thinking,Intellectual Dark Web,2,UC-uP8fChoXf3FTHyttRRkUw
American Justice,Intellectual Dark Web,2,UCW5BbfOqiBPIf_SZOe85Wjg
ReasonTV,Intellectual Dark Web,2,UC0uVZd8N7FfIZnPu0y7o95A
TheAtlasSociety,Intellectual Dark Web,2,UCPLjGLElB8hKpUkiZ1mnxeg
Notes For Space Cadets,Intellectual Dark Web,2,UCFVabwlhdsTGiqOgCEZyUXg
The Free Speech Club,Intellectual Dark Web,2,UCioON-JvOyXE-aZ2-UCBqDw
1791,Intellectual Dark Web,2,UCp4oMaqaY0hIoT9jafj1g8g
Gravitahn,Intellectual Dark Web,2,UCskcws9RtJPRM02UVe43BQA
AynRandInstitute,Intellectual Dark Web,2,UCM6z9wqPxdRHjAC_Pjdp5yQ
battleofideas,Intellectual Dark Web,2,UCjoF4jS4oR479_Y2y9Oksbg
Daily Caller,Intellectual Dark Web,2,UCP4BdwPKyYnfRLjSNfGAPRA
Conversations with Bill Kristol,Intellectual Dark Web,2,UCmA54XhpFJWyw_Bsj1jYsMw
Bull Brand,Intellectual Dark Web,2,UCij5BjgH6WjDqOzB6UZZpjA
The Heritage Foundation,Intellectual Dark Web,2,UC5bEfSFTYQVfLCwkhBt8NtQ
YAFTV,Intellectual Dark Web,2,UC4-AGCUwX7C-D4BsBook9fQ
Transliminal,Intellectual Dark Web,2,UC3yl-2o2mOPmsjgxDXTKbCA
Glenn Beck,Intellectual Dark Web,2,UCEao2vcm4FzkXKJQCH6mvWw
ybrook,Intellectual Dark Web,2,UCabMx-URCjr2toe9wOE3Y-Q
MeaningofLife.tv,Intellectual Dark Web,2,UCyXhXAmTRVfeiD8JkWJ7Tzg
ZeroFox Given,Intellectual Dark Web,2,UCliHpHuY_aIZ7pGWO9tUx_w
Think Inc.,Intellectual Dark Web,2,UCIcG1DFunampyV70gRlfozw
The New Criterion,Intellectual Dark Web,2,UC5eXl6eJPzMavFFwfi8-nIg
Pangburn,Intellectual Dark Web,2,UCm5J1Fu_dHgBcMTpXu-NXUw
Crysta,Intellectual Dark Web,2,UCRa_kxWOnJsSSb7S0ijguBw
The Patriotic Report,Intellectual Dark Web,2,UCy-N04M3rGQMznjIv5g2LGQ
Social Justice Fails,Intellectual Dark Web,2,UClGh7QkXnUikoRUo6RSVlMA
SJWCentral,Intellectual Dark Web,2,UC-jlxuVAVEl2PXTaGno7gSA
Ben Shapiro Thug Life,Intellectual Dark Web,2,UCiTnIVJLN3wBHM9EQx4kW8g
hOrnsticles3,Intellectual Dark Web,2,UCoNGo02Aai6VQotn-MNnbpw
Leo Stratton,Intellectual Dark Web,2,UCdlMSPp9XSTcbJw422zxWCA
Domination Station,Intellectual Dark Web,2,UCqxzXCQqNQ9wSwHPtZKHrlQ
SJW CRINGE MACHINE,Intellectual Dark Web,2,UC92qENDvlCKpNCkUwJnFdkA
